	SrO	mass%	138	0.0335
	AM 04 F05-941	2011-12-21 11:15	19	1
	MgO	mass%	112	2.5074
	Al2O3	mass%	113	15.378
	SiO2	mass%	114	63.510
	Cl	mass%	17	0.0842
	K2O	mass%	119	5.2088
	CaO	mass%	120	2.3727
	TiO2	mass%	122	1.8237
	MnO	mass%	125	0.1787
	Fe2O3	mass%	126	8.1081
	Ga2O3	mass%	131	0.0270
	Rb2O	mass%	137	0.0338
	SrO	mass%	138	0.0419
	Y2O3	mass%	139	0.0104
	ZrO2	mass%	140	0.0737
	Nb2O5	mass%	141	0.1492
	MoO3	mass%	142	0.0295
	Tc	mass%	43	0.0202
	Rh2O3	mass%	145	0.2981
	Ag2O	mass%	147	0.1445
	AM 02 F03-941	2011-12-21 11:46	15	1
	MgO	mass%	112	1.9319
	Al2O3	mass%	113	16.394
	SiO2	mass%	114	62.214
	P2O5	mass%	115	0.3217
	Cl	mass%	17	0.0306
	K2O	mass%	119	5.7940
	CaO	mass%	120	2.6896
	TiO2	mass%	122	1.7845
	MnO	mass%	125	0.1291
	Fe2O3	mass%	126	8.2975
	ZnO	mass%	130	0.0278
	Rb2O	mass%	137	0.0265
	SrO	mass%	138	0.0464
	ZrO2	mass%	140	0.1233
	Rh2O3	mass%	145	0.1887
	AM 02 F08-942	2011-12-21 12:48	13	1
	MgO	mass%	112	2.0453
	Al2O3	mass%	113	16.649
	SiO2	mass%	114	59.960
	P2O5	mass%	115	0.3165
	Cl	mass%	17	0.1441
	K2O	mass%	119	5.2372
	CaO	mass%	120	2.6230
	TiO2	mass%	122	1.4168
	MnO	mass%	125	0.1422
	Fe2O3	mass%	126	11.369
	NiO	mass%	128	0.0375
	Rb2O	mass%	137	0.0214
	SrO	mass%	138	0.0383
	AM 04 F3-941	2011-12-21 14:34	14	1
	F	mass%	9	78.795
	MgO	mass%	112	0.5817
	Al2O3	mass%	113	5.5685
	SiO2	mass%	114	12.922
	P2O5	mass%	115	0.0639
	Cl	mass%	17	0.0096
	K2O	mass%	119	0.6284
	CaO	mass%	120	0.3156
	TiO2	mass%	122	0.2054
	MnO	mass%	125	0.0164
	Fe2O3	mass%	126	0.8841
	Rb2O	mass%	137	0.0012
	SrO	mass%	138	0.0018
	ZrO2	mass%	140	0.0068
	AM02 F06-941	2011-12-28 10:24	13	1
	MgO	mass%	112	1.7196
	Al2O3	mass%	113	13.929
	SiO2	mass%	114	67.169
	P2O5	mass%	115	0.2845
	K2O	mass%	119	5.9809
	CaO	mass%	120	2.8315
	TiO2	mass%	122	1.6397
	MnO	mass%	125	0.1056
	Fe2O3	mass%	126	6.1259
	ZnO	mass%	130	0.0228
	Rb2O	mass%	137	0.0213
	SrO	mass%	138	0.0396
	ZrO2	mass%	140	0.1303
	AM03 F07-941	2011-12-28 10:57	11	1
	MgO	mass%	112	1.8261
	Al2O3	mass%	113	17.349
	SiO2	mass%	114	61.342
	P2O5	mass%	115	0.3878
	Cl	mass%	17	0.2295
	K2O	mass%	119	4.9031
	CaO	mass%	120	2.5567
	TiO2	mass%	122	1.3851
	MnO	mass%	125	0.2180
	Fe2O3	mass%	126	9.7700
	SrO	mass%	138	0.0325
	AM02 F07-941	2011-12-28 11:28	13	1
	MgO	mass%	112	1.9250
	Al2O3	mass%	113	17.430
	SiO2	mass%	114	62.000
	P2O5	mass%	115	0.2419
	Cl	mass%	17	0.1484
	K2O	mass%	119	5.2070
	CaO	mass%	120	2.7753
	TiO2	mass%	122	1.4263
	MnO	mass%	125	0.1124
	Fe2O3	mass%	126	8.6506
	ZnO	mass%	130	0.0250
	SrO	mass%	138	0.0182
	Ag2O	mass%	147	0.0394
